Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
MX000001001,71,1920,-0.11,-0.32,0.49,0.35,2.16,-0.33,0.1,-0.55,-1.57,-0.98,0,-0.12
MX000001001,71,1921,0.24,-0.32,0.49,0.56,0.16,-0.71,-0.07,-0.25,-0.38,-0.96,1,1.02
MX000001001,71,1922,-0.07,-0.32,0.49,0.29,-0.85,0.69,0.62,-0.07,1.01,1.07,-0.31,-0.26
MX000001001,71,1923,0.3,0.3,1.12,-0.06,-0.67,0.48,-0.79,0.83,-0.12,2.1,1.28,0.1
MX000001001,71,1924,-0.09,-0.24,0.49,0.32,0.31,1.35,-0.77,-0.82,0.1,-0.96,-0.31,1.23
MX000001001,71,1925,-0.13,-0.32,1.57,0.11,-0.48,-0.03,-1.4,-0.1,0.94,0.47,1.39,2.85
MX000001001,71,1926,0.14,-0.32,0.61,0.29,0.34,0.69,0.78,0.48,-0.48,-0.11,-0.31,-0.05
MX000001001,71,1927,-0.13,-0.32,0.61,-0.06,0.81,2.19,0.21,-0.04,0.42,-0.63,0.14,0.33
MX000001001,71,1928,0.91,-0.14,0.49,-0.06,1.41,-1.29,0.03,-0.64,1.84,0.06,0,-0.12
MX000001001,71,1929,0.38,-0.32,0.49,-0.06,-0.64,-0.89,1.53,0.41,-0.62,-0.64,1.48,-0.16
MX000001001,71,1930,-0.04,0.01,0.49,0.51,1.49,0.17,1.11,-0.1,-1.31,2.25,3.31,0.07
MX000001001,71,1931,1.75,1.17,0.49,-0.06,1.78,0.2,0.26,0.85,-0.35,-0.07,-0.31,0.62
MX000001001,71,1932,0.25,0.7,1.18,-0.06,-0.73,-1.12,0.57,-1.56,1.22,-0.57,-0.31,-0.26
MX000001001,71,1933,1.1,0.81,0.49,-0.06,-1.03,0.01,0.64,0.68,0.06,-0.18,-0.31,-0.26
MX000001001,71,1934,1.21,-0.32,0.49,-0.06,2.04,0.41,0.68,1.09,0.37,0.63,-0.31,0.39
MX000001001,71,1935,-0.13,1.5,0.49,0.44,0.98,2.47,0.72,0.73,2.16,-0.72,0.62,0.24
MX000001001,71,1936,0.15,-0.32,0.49,0.35,1.43,-1.69,-0.95,1.05,1.86,0.04,0.44,-0.26
MX000001001,71,1937,0.15,-0.32,0.79,0.89,0.08,-0.23,0.12,0.43,1.02,-0.41,-0.31,1.05
MX000001001,71,1938,0.43,-0.24,0.49,-0.06,0.72,1.17,0.67,-1.32,-0.46,-0.86,1.59,0.18
MX000001001,71,1939,0.19,-0.32,0.49,1.13,0.55,0.74,-0.11,0.25,2.95,2.54,-0.12,-0.26
MX000001001,71,1940,0.18,0.26,1,0.96,-0.64,0.47,0.15,0.46,-1.54,-0.97,2.22,0.35
MX000001001,71,1941,0.36,1.2,0.97,1.03,1.07,1.51,0.35,-0.01,-1.65,1.32,0.56,0.26
MX000001001,71,1942,-0.13,0.47,0.49,-0.06,0.28,0.22,-1.07,0.26,0.43,1.33,0.42,-0.26
MX000001001,71,1943,0.41,-0.32,0.49,-0.06,-1.03,1.74,0.03,-0.64,0.94,0.99,-0.31,1.31
MX000001001,71,1944,0.04,0.82,1.26,-0.06,0.03,-0.8,-0.51,0.84,1.37,-0.45,0.88,-0.26
MX000001001,71,1945,0.07,0.08,0.49,-0.06,-0.64,-1.21,-1.11,1.01,-1.79,-0.94,-0.12,-0.26
MX000001001,71,1946,0.66,0.28,0.49,0.29,-0.96,0.22,0.43,-0.22,-0.3,0.61,2.04,0.53
MX000001001,71,1947,1.31,-0.32,0.49,1.13,2.73,1.15,-3.72,0.28,0.45,-0.16,0.07,0.46
MX000001001,71,1948,1.27,-0.32,1.21,0.68,0.6,0.39,0,-1.55,-0.51,-0.4,-0.07,0.46
MX000001001,71,1949,-0.13,-0.32,0.49,-0.06,0.7,0.01,-0.22,-1.2,0.03,-0.32,-0.31,-0.26
MX000001001,71,1950,-0.13,-0.32,0.49,-0.06,0.72,0.59,0.46,-1.17,-0.86,-1.01,-0.07,-0.26
MX000001001,71,1951,-0.13,-0.32,1.19,0.63,0.34,0.56,0.34,-0.92,-0.14,0.77,-0.31,-0.26
MX000001001,71,1952,-0.13,-0.32,0.49,0.98,0.1,0.25,-1.16,-0.47,0.36,-1.01,1.05,0.12
MX000001001,71,1953,-0.13,0.19,1.09,-0.06,-1.03,-0.34,-0.16,1.11,-1.2,-1.01,0.95,1.93
MX000001001,71,1954,-0.13,0.43,0.49,0.11,-0.43,-0.41,0.75,-0.26,-0.83,-0.34,-0.31,-0.26
MX000001001,71,1955,-0.13,-0.32,0.49,-0.06,-0.82,0.3,0.26,1.21,0.33,0.68,-0.31,-0.26
MX000001001,71,1956,-0.13,0.46,0.49,0.71,1.14,0.79,0.71,-0.41,-2,-1.01,-0.02,0.55
MX000001001,71,1957,-0.13,-0.32,0.49,-0.06,-0.04,-0.31,-1.18,-0.26,1.24,1.23,-0.31,-0.26
MX000001001,71,1958,1.57,0.5,1.24,-0.06,0.63,0.48,0.95,0.54,-0.19,1.92,2.57,0.92
MX000001001,71,1959,0.07,0.14,0.49,2.16,-0.34,0.35,-0.5,-0.27,-0.42,0.98,-0.31,-0.05
MX000001001,71,1960,-0.02,-0.32,0.49,-0.06,-1.03,-1.86,-0.81,1.04,-1.2,-0.05,-0.31,1.06
MX000001001,71,1961,1,-0.32,0.49,0.29,0.42,-0.05,-1.03,-0.12,-0.61,-0.57,0.31,-0.26
MX000001001,71,1962,0.99,0.71,0.49,1.73,-1.03,0.63,-0.6,-0.98,0.07,0.33,-0.24,0.86
MX000001001,71,1963,-0.13,0.39,0.49,-0.06,-0.3,0.56,-0.51,0.59,-0.1,-0.11,-0.07,2.19
MX000001001,71,1964,0.92,-0.08,0.49,0.22,0.86,-0.22,0.22,-0.88,2.31,0.18,0.71,0.97
MX000001001,71,1965,0.36,1.46,0.49,2.08,1.1,-0.49,0.18,-0.08,0.8,-0.26,1.5,1.16
MX000001001,71,1966,1.01,0.77,0.49,1.64,-1.03,0.81,-0.08,1.33,-0.14,0.91,-0.31,-0.26
MX000001001,71,1967,1.52,0.66,1.82,-0.06,1.35,0.77,-0.64,1.45,1.86,0.47,0.36,-0.08
MX000001001,71,1968,-0.13,1.2,2.25,0.22,-0.12,-0.37,-0.2,-0.22,-0.49,0.38,-0.31,0.69
MX000001001,71,1969,0.3,-0.32,0.49,-0.06,-0.48,-0.75,-1.15,-0.76,-0.37,-0.3,0.42,0.02
MX000001001,71,1970,-0.13,1.88,0.49,-0.06,-0.89,2.15,-0.02,0.18,2.45,-0.47,0.52,-0.26
MX000001001,71,1971,0.12,-0.32,0.49,-0.06,2.05,1.85,-0.46,1.47,0.9,-0.64,-0.31,-0.26
MX000001001,71,1972,0.07,-0.32,1.16,0.84,-0.15,0.19,-1.09,0.62,0.36,-0.28,0.86,-0.12
MX000001001,71,1973,0.87,0.61,0.49,-0.06,0.84,0.19,-0.04,1.55,-0.64,0.66,-0.31,-0.26
MX000001001,71,1974,-0.13,-0.32,1,0.54,0.37,-0.53,-0.24,-0.06,0.75,-0.34,-0.12,0.61
MX000001001,71,1975,0.89,0.01,0.49,-0.06,-0.34,0.4,0.34,1.3,-1.3,-0.78,-0.31,0.71
MX000001001,71,1976,-0.05,-0.32,0.49,0.57,0.5,-1.35,1.53,-0.96,0,0.36,2.21,0.46
MX000001001,71,1977,0.01,-0.32,0.49,0.8,0.22,0.2,-1.45,0.02,0.01,0.47,-0.02,0.06
MX000001001,71,1978,-0.13,0.24,0.49,-0.06,0.1,-0.53,-2.7,-3.19,-1.77,-0.97,-0.12,-0.26
MX000001001,71,1979,-0.13,-0.32,0.49,-0.06,-0.76,-1.49,-0.81,-3.72,-1.95,-1.01,-0.31,1.72
MX000001001,71,1980,1.24,0.82,0.49,0.65,-0.64,-1.45,-0.77,0.7,-0.62,0.46,0.79,1.01
MX000001001,71,1981,1.26,0.55,1.07,1.34,-0.82,-0.3,-0.56,-0.2,-1.46,0.34,-0.31,0.15
MX000001001,71,1982,-0.13,-0.32,0.49,0.29,0.52,-2.02,0.07,-1.24,-1.9,1.21,1.46,1.69
