Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
US-DIV00101,71,1895,0.95,-2.08,0.64,-1.05,-0.66,0.21,0.06,0.22,-0.14,-0.41,-1.89,0.18
US-DIV00101,71,1896,-1.26,1.17,0.34,-0.16,-0.73,0.43,-0.45,-1.14,-0.51,-0.83,0.86,-2.17
US-DIV00101,71,1897,-0.51,-0.36,2.27,0.13,-0.76,-1.12,-0.35,0,-2.08,-0.73,-1.54,0.93
US-DIV00101,71,1898,0.84,-2.17,-0.36,-0.18,-1.33,-0.69,0.61,0.01,-0.42,0.32,-0.41,-1.28
US-DIV00101,71,1899,0.35,0.8,1.36,-0.88,-1.56,-1.02,0.9,-0.14,-1.72,-0.66,-0.19,0.61
US-DIV00101,71,1900,-0.61,0.21,-0.48,1.96,-0.26,2.93,0.1,-0.92,-0.46,1.36,-0.48,-0.82
US-DIV00101,71,1901,0.13,-0.96,-0.22,0.04,-0.07,0.08,-1.18,3.72,0.92,-1.22,-1.92,0.4
US-DIV00101,71,1902,-0.09,-0.39,0.92,-1.14,-1.58,-0.36,-1.02,-0.56,0.25,-0.23,0.67,0.2
US-DIV00101,71,1903,-0.43,1.96,-0.08,-0.49,0.63,0.41,-0.59,0.26,-1.68,-0.41,-0.36,-0.68
US-DIV00101,71,1904,-1.16,-2.04,0.52,-0.84,-0.29,-0.38,0.35,-0.72,-0.96,-1.77,-0.59,0.15
US-DIV00101,71,1905,-0.26,0.86,-0.57,-0.49,0.29,1.29,-0.54,0.51,-0.18,1.33,-2.84,-0.04
US-DIV00101,71,1906,0,-2.11,0.4,-1.94,-0.33,-0.52,2.15,-0.72,1.62,0.5,-0.39,-0.33
US-DIV00101,71,1907,-1.36,0.13,-0.64,-0.08,1.42,0.02,0.02,-0.81,0.91,-0.59,0.27,-0.42
US-DIV00101,71,1908,-0.4,0.67,-0.09,0.06,0.76,0.28,-0.64,-0.17,-0.54,-1.26,-2.09,0.4
US-DIV00101,71,1909,-1.03,1.57,0.32,0.61,0.63,1.34,-0.06,-1.23,-0.45,-0.19,-1.87,-0.36
US-DIV00101,71,1910,-0.26,0.25,-3.72,-1.03,0.52,1.3,1.36,-1.25,-0.78,0.44,-2.02,-0.47
US-DIV00101,71,1911,-0.07,0.3,-1.47,2.22,-1.08,0.17,1.08,1.21,-0.79,0.47,-0.21,1.54
US-DIV00101,71,1912,-0.27,-0.17,1.28,1.5,0.34,0.13,1.01,1.24,-0.2,-0.54,-2.46,0.49
US-DIV00101,71,1913,1.5,0.37,0.14,-1.45,-0.21,0.41,-1.08,-0.81,0.38,-0.32,-3.03,-0.82
US-DIV00101,71,1914,-1.74,-0.2,-0.37,-0.11,-1.26,-0.76,-0.69,0.79,-0.65,-0.32,-1.07,0.63
US-DIV00101,71,1915,-0.01,-0.11,-1.08,-2.8,-0.14,-0.51,0.49,1.43,-0.15,0.24,0.87,0.23
US-DIV00101,71,1916,0.32,-0.54,-1.43,-0.82,0.32,0.61,3.58,-0.23,-1.62,-0.75,-1.36,0.15
US-DIV00101,71,1917,0.52,0.03,1.74,-0.21,-0.53,0.66,0.86,-0.87,-0.12,-0.59,-2.79,-1.92
US-DIV00101,71,1918,0.74,-1.27,-3.72,0.84,-0.24,0.61,-0.77,-1.38,-0.13,1.91,-0.3,-0.55
US-DIV00101,71,1919,-0.15,-0.43,1.15,-0.89,1.01,0.77,-0.6,1.88,-1.66,1.87,0.99,-0.51
US-DIV00101,71,1920,0.22,-0.63,0.86,2.05,0.6,0.82,-0.29,1.32,-0.6,-1.65,-0.63,0.16
US-DIV00101,71,1921,-0.86,0.66,-0.38,0.81,-1.34,-0.21,0.17,0.57,0.22,-0.32,0.08,-1.06
US-DIV00101,71,1922,0.48,0.2,1.52,0.53,0.48,0.21,-0.48,-0.54,-1.43,-1,-1.73,0.92
US-DIV00101,71,1923,0.24,0.51,0.54,0.68,1.05,-0.02,-0.07,1.98,-1.06,-0.48,0.32,0.62
US-DIV00101,71,1924,0.48,0.22,-0.37,0.86,0.72,0.42,-1.95,-0.59,-0.69,-2.2,-3.72,0.29
US-DIV00101,71,1925,0.14,-0.68,-1.36,-1.23,-1.29,-1.11,-0.45,-0.98,-0.73,1.88,0.6,-1.02
US-DIV00101,71,1926,-0.32,-0.97,-0.64,-1.59,-0.38,0.65,-1.18,1.89,-1.52,-0.05,0.78,1.77
US-DIV00101,71,1927,-0.73,-0.09,0.53,0.1,0.15,1.16,-1.01,-0.53,-1.5,-0.31,0.75,0.69
US-DIV00101,71,1928,-1.24,-1.39,0.3,1.4,-0.03,2.36,-0.33,1.41,-1.06,0.81,-0.03,-1.97
US-DIV00101,71,1929,0.33,0.16,1.54,0.36,0.73,0.14,-0.54,-1.55,0.9,0.74,1.62,-0.78
US-DIV00101,71,1930,-1.08,-0.47,0.02,-2.85,1.16,-2.19,-1.23,-0.73,-0.24,-0.26,0.69,-0.9
US-DIV00101,71,1931,-1.25,-0.04,-0.37,-1.02,-0.53,-1.86,-0.07,0.3,-1.58,-0.43,-0.2,1.55
US-DIV00101,71,1932,1.17,1.02,-0.38,0.45,-1.12,0.83,0.69,1.13,0.25,2.34,-0.52,1.1
US-DIV00101,71,1933,-1.12,0.86,0.01,-0.15,0.69,-1.8,0.49,-0.33,-0.82,-0.9,-1.25,-0.39
US-DIV00101,71,1934,-0.8,-0.64,0.75,-1.08,-0.89,1.12,0.26,0.42,0.03,0.01,-0.22,-0.73
US-DIV00101,71,1935,-0.1,-0.07,0.96,-0.19,0.48,-0.02,-2.19,-1.08,-1.03,0.88,0.63,-1.32
US-DIV00101,71,1936,0.16,-0.06,0.45,0.93,-1.7,-1.56,1.82,-0.93,-0.18,0.69,-0.78,0.25
US-DIV00101,71,1937,2.14,-0.25,-1.22,0.41,-0.01,-0.44,-0.29,0.25,-0.31,1.27,-1.6,-0.6
US-DIV00101,71,1938,-0.04,-2.23,0.49,0.66,0.05,0.82,0.72,0.93,-1.47,-1.8,0.6,-1.41
US-DIV00101,71,1939,0.72,2.48,0.22,0.1,0.45,1.93,-0.68,-0.32,-0.47,-1.41,-3.03,-0.9
US-DIV00101,71,1940,-1.14,0.57,0.19,-0.09,-0.71,0.08,1.43,-0.09,-1.44,-0.46,0.45,-0.42
US-DIV00101,71,1941,-0.58,-2.28,-0.85,-0.81,-2.23,-0.55,1.04,-0.07,-1.22,0.23,-0.65,-0.58
US-DIV00101,71,1942,-1.16,0.11,-0.02,-1.74,-1.55,-0.86,-1.45,1.33,-0.31,-0.3,-1.89,0.94
US-DIV00101,71,1943,-1.85,-0.83,0.33,-1.03,-0.78,-0.64,-1.11,-0.81,0.97,-1.4,-1.53,-0.79
US-DIV00101,71,1944,-0.97,1.89,1.36,0.16,-0.65,-1,-1,0.6,-0.03,-1.61,-0.97,0.54
US-DIV00101,71,1945,-0.28,1.71,0.18,0.13,-0.48,0.18,-1.02,0.14,-0.63,-0.52,0.87,0.13
US-DIV00101,71,1946,1.87,1.72,0.07,-0.54,0.68,0.15,0.64,-0.26,0.91,-0.42,0.96,-0.63
US-DIV00101,71,1947,1.77,-1.43,-0.22,0.18,-0.3,0.47,-1.58,-0.13,-1.13,-0.52,0.91,-0.96
US-DIV00101,71,1948,-0.57,2.3,1.16,-0.92,-0.11,-0.33,0.09,-1.45,0.12,-1.18,2.73,-0.29
