Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
USC00502107,71,1948,-99.99,-99.99,-99.99,-99.99,-99.99,0.47,1.16,1.16,-1.04,-1.03,-0.33,0.6
USC00502107,71,1949,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-1.67,-0.81,-0.98,0.39
USC00502107,71,1950,2.26,0.25,0.76,-1.05,-0.51,-1.28,-1.06,-0.5,-1.57,0.06,0.78,0.37
USC00502107,71,1951,0.5,1.08,0.54,-1.55,0.2,-0.72,0.21,0.58,-0.5,-0.7,0.33,0.98
USC00502107,71,1952,0.74,-0.44,-0.02,-0.51,-0.39,-0.16,0.03,-1.08,0.75,-0.29,-1.45,-3.72
USC00502107,71,1953,-1.56,-1.08,0.34,-1.55,0.77,0.55,-0.39,0.61,0.47,-1.79,-3.72,-0.49
USC00502107,71,1954,0.55,-0.44,0.8,-1.55,-0.88,-0.07,0.91,-1.42,0.59,-1.9,-0.7,0.37
USC00502107,71,1955,0.46,1.2,0.88,0.28,1.64,1.77,0.77,0.07,0.28,0.1,-0.42,1.3
USC00502107,71,1956,0.43,1.3,-0.02,0,0.46,0.05,-0.42,0.38,0.56,0.46,0.8,-0.38
USC00502107,71,1957,1.65,0.25,-1.88,-0.78,-0.45,-1.9,-1.76,-1.19,-1.21,0.57,-0.5,-0.43
USC00502107,71,1958,-0.07,-1.08,0.34,-0.05,0.75,-1.02,-0.14,-0.69,-0.43,0.35,0.46,-0.49
USC00502107,71,1959,-1.04,1.36,-0.06,0.08,1.55,-0.21,1.42,0.14,-0.01,0.02,0.02,0.03
USC00502107,71,1960,0.91,-0.08,-0.77,0.76,-0.8,-0.62,-0.12,0.6,1.82,0.14,-0.31,-0.41
USC00502107,71,1961,-0.79,-0.6,-0.34,0.85,-0.42,-1.06,0.4,1.66,1.04,0.8,-0.4,0.32
USC00502107,71,1962,0.57,1.42,0.76,0.55,0.4,0.66,1.43,2.07,1.09,-1.13,-0.86,-0.21
